paper_id,title,year,journal,doi,pmid,article_url,pdf_url,locomotion_assay,model,age_sex_sample,phenotype_measurements,source_location,status,rating,recommended_use,manual_review_required,notes
PINK1-001,"Mitochondrial dysfunction in Drosophila PINK1 mutants is complemented by parkin",2006,Nature,10.1038/nature04788,16672980,https://pubmed.ncbi.nlm.nih.gov/16672980/,,locomotive defects reported; assay details pending full text,PINK1 loss-of-function; parkin rescue,"Không đủ thông tin trong abstract",,"Abstract; exact locomotion values require full-text/figure extraction",candidate,4/5,"Disease Signature; Validation",true,"Primary research. Use only after extracting exact assay, units, age, sex, n, and figure source."
PINK1-002,"Drosophila pink1 is required for mitochondrial function and interacts genetically with parkin",2006,Nature,10.1038/nature04779,16672981,https://pubmed.ncbi.nlm.nih.gov/16672981/,https://pubmed.ncbi.nlm.nih.gov/16672981/,locomotion is not the central endpoint; flight-muscle degeneration is reported,PINK1 loss-of-function; parkin interaction,"Không đủ thông tin",,"Abstract and phenotype descriptions; no verified numerical locomotion value",supporting,2/5,"Chỉ tham khảo; Disease Signature nếu full text có assay vận động",true,"Keep as supporting mechanism paper, not a primary speed calibration target unless locomotion data are confirmed."
PINK1-003,"Mitochondrial pathology and muscle and dopaminergic neuron degeneration caused by inactivation of Drosophila Pink1 is rescued by Parkin",2006,PNAS,10.1073/pnas.0602493103,16818890,https://pubmed.ncbi.nlm.nih.gov/16818890/,https://pmc.ncbi.nlm.nih.gov/articles/PMC1502310/,locomotor defects and genetic rescue,Pink1 inactivation; Parkin rescue,"Không đủ thông tin trong abstract",,"Locomotion stated in title/abstract; numeric values pending figure extraction",candidate,4/5,"Disease Signature; Validation",true,"Primary research. Do not treat rescue as a disease-treatment conclusion."
PINK1-004,"Pink1 regulates mitochondrial dynamics through interaction with the fission/fusion machinery",2008,PNAS,10.1073/pnas.0711845105,18443288,https://pubmed.ncbi.nlm.nih.gov/18443288/,https://pubmed.ncbi.nlm.nih.gov/18443288/,behavioral phenotype is relevant but exact locomotion endpoint requires full text,PINK1 mutant and mitochondrial fission/fusion perturbations,"Không đủ thông tin",,"Exact locomotion metric and source figure pending",supporting,3/5,"Disease Signature; Chỉ tham khảo",true,"Mechanistic primary paper; retain only the behavioral observations that can be linked to a stated assay."
PINK1-005,"Pink1 suppresses alpha-synuclein-induced phenotypes in a Drosophila model of Parkinson's disease",2008,Genome,10.1139/G08-085,19088817,https://pubmed.ncbi.nlm.nih.gov/19088817/,https://pubmed.ncbi.nlm.nih.gov/19088817/,climbing ability and mobility/longevity context,alpha-synuclein expression with PINK1 modulation,"Không đủ thông tin trong abstract",,"Premature loss of climbing ability reported; exact numbers pending full text",candidate,4/5,"Disease Signature; Validation",true,"Useful for interaction phenotype, but separate alpha-synuclein-driven effects from Pink1-specific effects."
PINK1-006,"Drosophila HtrA2 is dispensable for apoptosis but acts downstream of PINK1 independently from Parkin",2009,Không đủ thông tin trong lượt curation này,,19282869,https://pubmed.ncbi.nlm.nih.gov/19282869/,https://pmc.ncbi.nlm.nih.gov/articles/PMC2711053/,climbing and flight assays,PINK1 and HtrA2 genotypes with Parkin comparisons,"Không đủ thông tin trong abstract",,"Figures 7-8 referenced in full text; exact values pending extraction",candidate,3/5,"Disease Signature; Chỉ tham khảo",true,"Secondary Pink1 locomotion source; preserve genotype and assay provenance carefully."
PINK1-007,"TRAP1 rescues PINK1 loss-of-function phenotypes",2013,Cell Death and Disease,, ,https://pmc.ncbi.nlm.nih.gov/articles/PMC3690968/,https://pmc.ncbi.nlm.nih.gov/articles/PMC3690968/,negative geotaxis/climbing and flight,Pink1[B9]; Pink1 RNAi; human TRAP1 rescue,"At least 120 flies/genotype; method reports 20 male flies/chamber, 20 s, 10 cm, five trials",,"Climbing rescue in Fig. 1E-F; exact graph values pending extraction",candidate,5/5,"Calibration; Validation; Disease Signature",true,"Strong direct locomotion candidate. Verify journal metadata/DOI from article record before database approval."
PINK1-008,"Drosophila ref(2)P is required for the parkin-mediated suppression of mitochondrial dysfunction in pink1 mutants",2013,Cell Death and Disease,10.1038/cddis.2013.394,24157867,https://pubmed.ncbi.nlm.nih.gov/24157867/,https://www.nature.com/articles/cddis2013394.pdf,standard climbing assay,Pink1 mutant with Parkin/ref(2)P genetic manipulation,"n >= 60/genotype; mean +/- SD reported",,"Climbing rescue in the article figures; exact values pending extraction",candidate,4/5,"Disease Signature; Validation",true,"Primary rescue paper; use as a comparative genetic-signature source, not as a numeric threshold without figure/source-data review."
PINK1-009,"PINK1-mediated phosphorylation of Parkin boosts Parkin activity in Drosophila",2014,Open Biology,,24901221,https://pubmed.ncbi.nlm.nih.gov/24901221/,https://pmc.ncbi.nlm.nih.gov/articles/PMC4046931/,climbing assay; wing posture, PINK1-null with Parkin WT/SA/SE variants,"Male flies; 20 trials reported for climbing; age details vary by assay",,"Climbing phenotype and rescue in Fig. 4; exact values pending extraction",candidate,4/5,"Calibration; Validation",true,"Direct genetic perturbation study; distinguish motor phenotype from molecular rescue mechanism."
PINK1-010,"PINK1-mediated phosphorylation of Miro inhibits synaptic growth and protects dopaminergic neurons in Drosophila",2014,Scientific Reports,10.1038/srep06962,,https://www.nature.com/articles/srep06962,https://pmc.ncbi.nlm.nih.gov/articles/PMC4223694/,larval crawling/idling; adult climbing/jumping/flying,PINK1 null and Miro phosphorylation variants,"Third-instar larvae n=21-44; 15-day adults n=22-119; sex not consistently specified",,"Crawling/idling and adult locomotor assays in Figs. 4 and 6; exact values pending extraction",candidate,4/5,"Disease Signature; Validation",true,"Useful age/stage-separated phenotype source. Do not mix larval crawling with adult walking metrics."
PINK1-011,"Basal mitophagy is widespread in Drosophila but minimally affected by loss of Pink1 or parkin",2018,Journal of Cell Biology,10.1083/jcb.201801044,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5940313/,https://pmc.ncbi.nlm.nih.gov/articles/PMC5940313/,climbing/flight used as behavioral validation,Pink1 B9 and parkin loss-of-function,"Male adults 1-3 days reported in assay methods; exact n pending",,"Behavioral validation figures; exact values pending extraction",supporting,3/5,"Validation; Chỉ tham khảo",true,"Core question is mitophagy, so locomotion is secondary evidence. Keep only explicit locomotor measurements."
PINK1-012,"Deficiency of parkin and PINK1 impairs age-dependent mitophagy in Drosophila",2018,eLife,10.7554/eLife.35878,29809156,https://elifesciences.org/articles/35878,https://elifesciences.org/articles/35878,behavioral context may be present but locomotion endpoint requires confirmation,Pink1 B9 and parkin mutants,"Không đủ thông tin trong lượt curation này",,"Do not extract locomotion unless a named assay and source figure are confirmed",supporting,2/5,"Chỉ tham khảo",true,"Included only as a screening candidate; may be excluded from the calibration set after full-text review."
PINK1-013,"Superoxide dismutating molecules rescue the toxic effects of PINK1 and parkin loss",2018,Cell Death and Disease,, ,https://pmc.ncbi.nlm.nih.gov/articles/PMC5905640/,https://pmc.ncbi.nlm.nih.gov/articles/PMC5905640/,counter-current negative geotaxis/climbing,Pink1 B9 with Sod/Sod2 or M40403 intervention,"Male flies 1-2 days; n > 150/genotype; each animal tested five times; 8 cm line, 10 s",,"Figs. 7-8; means/95% CI are plotted, exact values pending source-data extraction",candidate,5/5,"Calibration; Validation",true,"Strong direct assay metadata. Treatment arm is an intervention comparison, not evidence of clinical efficacy."
PINK1-014,"The STING pathway does not contribute to behavioural or mitochondrial phenotypes in Drosophila Pink1/parkin or mtDNA mutator models",2020,Scientific Reports,10.1038/s41598-020-59647-3,,https://www.nature.com/articles/s41598-020-59647-3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7021792/,climbing ability with genetic interaction controls,Pink1 B9 combined with Sting/Relish perturbations,"Number of animals shown in Fig. 5; exact n and values pending extraction",,"Fig. 5A; mean/95% CI; exact values pending",candidate,4/5,"Validation; Disease Signature",true,"Useful negative genetic-interaction result. Preserve the null/negative finding rather than forcing a phenotype."
PINK1-015,"Discovery of levodopa-induced dyskinesia-associated genes using genomic studies in patients and Drosophila behavioral analyses",2022,Communications Biology,10.1038/s42003-022-03830-x,,https://www.nature.com/articles/s42003-022-03830-x,https://www.nature.com/articles/s42003-022-03830-x,"single-fly trajectories; speed; abnormal involuntary movement scores","PINK1 B9/RV and L-DOPA exposure","N=6 for one trajectory set; N=10-12 for selected AIM analyses; ages/time points must be verified per panel",,"Fig. 3b-h and Supplementary Figs. 2-3; exact values pending source-data extraction",candidate,4/5,"Calibration; Validation",true,"High-value trajectory candidate, but drug exposure and AIM endpoints must be kept separate from baseline locomotion."
PINK1-016,"PINK1 and Parkin regulate IP3R-mediated ER calcium release",2023,Nature Communications,10.1038/s41467-023-40929-z,,https://www.nature.com/articles/s41467-023-40929-z,https://pmc.ncbi.nlm.nih.gov/articles/PMC10457342/,negative geotaxis/climbing, PINK1/Parkin pathway manipulations,"Three-day-old male flies; 18 cm vial; 15 cm finish line; 3 trials/group across 10 independent experiments",,"Climbing assay methods; exact values pending figure/source-data extraction",candidate,4/5,"Validation; Disease Signature",true,"Direct assay metadata is available; the paper's primary focus is ER calcium, so retain locomotion as a phenotype endpoint only."
PINK1-017,"Cdk8/CDK19 promotes mitochondrial fission through Drp1 phosphorylation and can phenotypically suppress pink1 deficiency in Drosophila",2024,Không đủ thông tin trong lượt curation này,,38637532,https://pubmed.ncbi.nlm.nih.gov/38637532/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11026413/,climbing ability and thorax indentation,Pink1 B9 with hPink1/Cdk8/CDK19 expression,"Three-day-old flies; n=80/74/65 for RFP/hPink1/Cdk8 and n=56/71/98 for RFP/CDK19 variants; 29 C for one assay",,"Fig. 8b-c; mean +/- SD; exact plotted values pending",candidate,5/5,"Calibration; Validation",true,"Strong direct phenotype paper with sample sizes. Verify final journal/DOI metadata before approval."
PINK1-018,"Synaptic deregulation of cholinergic projection neurons causes olfactory dysfunction across five fly Parkinsonism models",2024,eLife,10.7554/eLife.98348,40178224,https://elifesciences.org/articles/98348,https://elifesciences.org/articles/98348/figures,startle-induced negative geotaxis (SING),PINK1 knock-in/control and other Parkinsonism models,"5+/-1 days and 25+/-1 days; approximately 95% of pink1 mutants died before 25 days and were tested at 15 days; n >= 5",,"Fig. 1b; normalized to control, mean +/- SEM; exact values pending extraction",candidate,4/5,"Disease Signature; Validation",true,"Useful age-dependent geotaxis source, but it is not a continuous walking/stride assay."
