paper_id,phenotype,metric,disease_layer_proxy,confidence,reason,recommended_use,calibration_candidate,validation_candidate,manual_review_required,notes
PINK1-001,"Locomotive defect",locomotion,motor_vigor,HIGH,"Mất khả năng vận động là kết quả tổng hợp phù hợp với giảm motor output, nhưng paper chưa cung cấp metric tách riêng.","Disease Signature; Validation",conditional,true,true,"Không có số liệu định lượng đã xác minh."
PINK1-001,"Locomotive defect",locomotion,coordination,LOW,"Locomotion tổng thể có thể bị ảnh hưởng bởi phối hợp, nhưng paper chưa đo gait hoặc inter-leg coordination.","Disease Signature",false,true,true,"Chỉ là khả năng phụ."
PINK1-002,"Flight-muscle degeneration",flight,postural_instability,LOW,"Tổn thương cơ bay có thể ảnh hưởng tư thế/chuyển động, nhưng không có endpoint locomotion đủ rõ trong lượt này.","Reference only",false,false,true,"Không đủ bằng chứng để map trực tiếp."
PINK1-003,"Locomotor defect",locomotion,motor_vigor,HIGH,"Bài báo nêu locomotor defect trong bối cảnh Pink1 loss-of-function.","Disease Signature; Validation",conditional,true,true,"Cần trích metric và đơn vị từ full text."
PINK1-003,"Muscle degeneration",flight muscle,postural_instability,LOW,"Thoái hóa cơ có thể ảnh hưởng ổn định cơ thể, nhưng đây không phải phép đo postural instability trực tiếp.","Disease Signature",false,true,true,"Không diễn giải thành cơ chế duy nhất."
PINK1-004,"Behavioral phenotype",behavior,UNMAPPED,NONE,"Chưa xác nhận được metric locomotion cụ thể trong phần đã kiểm tra.","Reference only",false,false,true,"Có thể loại sau full-text screening."
PINK1-005,"Premature loss of climbing ability",climbing,motor_vigor,HIGH,"Khả năng leo giảm là endpoint motor output trực tiếp hơn các proxy khác.","Disease Signature; Validation",conditional,true,true,"Cần exact value, age, sex và control."
PINK1-005,"Premature loss of climbing ability",climbing,coordination,LOW,"Leo cần phối hợp chân, nhưng paper không tách coordination khỏi speed/strength.","Disease Signature",false,true,true,"Mapping phụ, không dùng làm target riêng."
PINK1-006,"Climbing defect",climbing,motor_vigor,HIGH,"Climbing performance giảm phù hợp với giảm motor output.","Disease Signature; Validation",conditional,true,true,"Cần xác minh genotype và n."
PINK1-006,"Flight phenotype",flight,coordination,MEDIUM,"Bay đòi hỏi phối hợp cánh và thân, nhưng paper không cung cấp metric coordination trực tiếp.","Disease Signature",conditional,true,true,"Không đồng nhất với walking coordination."
