experiment_id,proxy,parameter,values,seeds,steps,expected_metrics,runtime_estimate,status,scientific_scope
healthy_baseline,healthy,healthy_default,existing_controller_default,"0;1;2;3;4",5000,"frame_count; timestep_s; duration_s; planar_displacement_mm; planar_path_length_mm; mean_planar_speed_mm_s; trajectory_efficiency",WAITING_RUNTIME,planned,"computational locomotion model; not a biological Parkinson model"
motor_vigor_sweep,motor_vigor,motor_vigor,"1.00;0.95;0.90;0.85;0.80","0;1;2;3;4",5000,"mean_planar_speed_mm_s; planar_path_length_mm; planar_displacement_mm; trajectory_efficiency; joint_velocity_if_available",WAITING_RUNTIME,planned_response_characterization,"computational locomotion model; values are technical candidates, not biological ranges"
coordination_sweep,coordination,coordination,"1.00;0.90;0.80;0.70;0.60","0;1;2;3;4",5000,"trajectory_efficiency; heading_variance_if_available; contact_timing_if_available; joint_velocity_if_available",WAITING_RUNTIME,planned_response_characterization,"computational locomotion model; values are technical candidates, not biological ranges"
noise_sweep,noise,motor_noise_std,"0.00;0.01;0.05","0;1;2;3;4",5000,"speed_variance_if_available; heading_variance_if_available; joint_velocity_variance_if_available",WAITING_RUNTIME,planned_disabled_in_campaign,"computational locomotion model; no numeric literature target is available"
delay_sweep,delay,initiation_delay_steps,"0;5;10","0;1;2;3;4",5000,"initiation_time_if_available; pause_fraction_if_available; mean_planar_speed_mm_s",WAITING_RUNTIME,planned_disabled_in_campaign,"computational locomotion model; no numeric literature target is available"
fatigue_sweep,fatigue,fatigue_rate,"0.00;0.01;0.05","0;1;2;3;4",5000,"speed_time_trend_if_available; pause_fraction_if_available; path_length_mm",WAITING_RUNTIME,planned_disabled_in_campaign,"computational locomotion model; no numeric literature target is available"
asymmetry_sweep,asymmetry,asymmetry,mapping_required,"0;1;2;3;4",5000,"left_right_symmetry_if_available; turning_if_available; heading_variance_if_available",WAITING_RUNTIME,blocked_mapping_required,"computational locomotion model; no verified left-right mapping or target is available"
latency_sweep,latency,latency,not_implemented,not_applicable,not_applicable,latency_metric_unavailable,NOT_IMPLEMENTED,not_runnable,"computational locomotion model; latency state is not implemented"
freezing_sweep,freezing,freezing,not_implemented,not_applicable,not_applicable,freezing_episode_metrics_unavailable,NOT_IMPLEMENTED,not_runnable,"computational locomotion model; freezing state is not implemented"
postural_instability_sweep,postural_instability,stability,not_implemented,not_applicable,not_applicable,"orientation_stability_unavailable; COM_metrics_unavailable",NOT_IMPLEMENTED,not_runnable,"computational locomotion model; postural proxy is not implemented"
