metric,proxy,evidence_strength,confidence_weight,paper_count,mapping_record_count,mean_evidence_score,quantitative_paper_count,calibration_status,validation_status,interpretation_note
AIM score; angular change,noise,Moderate,0.6,1,1,82,0,conditional_treatment_context,validation_candidate,"Chỉ phản ánh trajectory bất thường trong bối cảnh L-DOPA; không phải baseline noise target."
angular change,coordination,Weak,0.3,1,1,82,0,not_proposed,validation_candidate,"Turning/directional change có thể liên quan coordination nhưng chưa có inter-leg data."
climbing,coordination,Weak,0.3,1,1,53,0,conditional,validation_candidate,"Climbing là metric tổng hợp; không tách coordination khỏi vigor."
climbing,motor_vigor,Strong,0.92,8,10,68.5,0,conditional,validation_candidate,"Mapping phổ biến nhất nhưng toàn bộ outcome hiện còn qualitative/pending."
climbing,postural_instability,Weak,0.3,1,1,72,0,conditional,validation_candidate,"Chỉ là mapping phụ khi có posture/thorax evidence."
climbing; flight,motor_vigor,Strong,1.0,1,1,60,0,conditional,validation_candidate,"Giữ climbing và flight riêng khi harmonize metric."
climbing; jumping; flight,motor_vigor,Strong,1.0,1,1,67,0,conditional,validation_candidate,"Nhiều assay adult nhưng không phải một metric duy nhất."
crawling,motor_vigor,Strong,1.0,1,1,67,0,conditional,validation_candidate,"Crawling là larval endpoint; không gộp với adult walking."
flight,coordination,Moderate,0.6,2,2,68.5,0,conditional,validation_candidate,"Flight cần phối hợp cánh/thân nhưng chưa có decomposition."
flight,postural_instability,Weak,0.3,1,1,25,0,not_proposed,validation_candidate,"Chỉ hỗ trợ khi paper có posture evidence."
flight muscle,postural_instability,Weak,0.3,1,1,25,0,not_proposed,not_candidate,"Flight-muscle degeneration không phải phép đo dynamic posture."
geotaxis,motor_vigor,Strong,1.0,1,1,77,0,conditional,validation_candidate,"Negative geotaxis đo output leo sau kích thích."
geotaxis; age,motor_vigor,Moderate,0.6,1,1,77,0,conditional_age_stratified,validation_candidate,"Age-dependent geotaxis không tự động là fatigue."
idling,freezing,Weak,0.3,1,1,67,0,not_proposed,validation_candidate,"Idling chưa có pause threshold để gọi freezing."
locomotion,coordination,Weak,0.3,1,1,25,0,not_proposed,validation_candidate,"Locomotion tổng thể không đủ để tách coordination."
locomotion,motor_vigor,Strong,1.0,2,2,25,0,conditional,validation_candidate,"Direction phù hợp nhưng paper-level numeric extraction còn thiếu."
morphology,postural_instability,Strong,1.0,2,2,77,0,conditional,validation_candidate,"Morphology là static evidence, không phải orientation variance."
posture,postural_instability,Strong,1.0,1,1,77,0,conditional,validation_candidate,"Wing posture là phenotype tư thế trực tiếp hơn."
speed; trajectory,motor_vigor,Strong,1.0,1,1,82,0,conditional,validation_candidate,"Trajectory paper là ứng viên tốt nhưng numeric values chưa được approve."
time to finish,latency,Weak,0.3,1,1,72,0,not_proposed,validation_candidate,"Completion time không tách latency khỏi vigor/coordination/posture."
time to finish,motor_vigor,Strong,1.0,1,1,72,0,conditional,validation_candidate,"Có thể dùng sau khi xác minh protocol và units."
